NAME311,LOCATION,BOROUGH,TYPECATEGORY,ACRES,URL
Tappen Park,"Canal St., Water St., Bay St.",R,Historic House Park,1.777,http://www.nycgovparks.org/parks/R028/
The High Line,Gansevoort St. To W. 30 St. bet. Washington St. and 11 Ave.,M,Community Park,6.73,http://www.nycgovparks.org/parks/M360/
Thomas Greene Playground,"Nevins St., 3 Ave., bet. De Graw St. and Douglas St.",B,Community Park,2.525,http://www.nycgovparks.org/parks/B145/
Thomas Jefferson Park,"1 Ave., FDR Dr., bet. E. 111 St. and E. 114 St.",M,Community Park,15.524,http://www.nycgovparks.org/parks/M047/
Tudor Park,"N. Conduit Ave., 133 Ave. bet. 80 St. and 88 St.",Q,Community Park,13.543,http://www.nycgovparks.org/parks/Q094/
Union Square Park,"Broadway To 4 Ave., E 14 St. To E 17 St.",M,Community Park,6.51,http://www.nycgovparks.org/parks/M089/
Valentine Varian House,Bainbridge Ave. bet. Van Cortlandt Ave.,X,Historic House Park,0.455,http://www.nycgovparks.org/parks/X215/
Van Cortlandt Park,"Broadway, Jerome Ave,City Line,Van Cortlandt Pk S",X,Flagship Park,1146.43,http://www.nycgovparks.org/parks/X092/
Wagner Houses Pool,E. 124 St. bet. 1 Ave. and 2 Ave.,M,Community Park,1.64,http://www.nycgovparks.org/parks/M273/
Wave Hill,"W 248 St, Independence Av , W 252 St , P",X,Historic House Park,20.867,http://www.nycgovparks.org/parks/X209/
Willowbrook Park,"Richmond Ave., Victory Blvd., Ashworth Ave., and Forest Hill Rd.",R,Community Park,214.947,http://www.nycgovparks.org/parks/R030/
Wolfe's Pond Park,"Holton Ave., Chisolm St., Luten Ave., Arbutus Ave. and Raritan Bay",R,Community Park,302.693,http://www.nycgovparks.org/parks/R031/
